shipName,startGMTDate,sessionId,CONSUMED_QUANTITY,baseline_consumption,target_excess_ratio,bio_index_0_10,bio_class,additional_fuel_tons,additional_cost_usd,additional_co2_tons
BRUNO LIMA,2021-09-20 17:50:00,41300000511,0.6,0.7093981330610539,-0.1542126035615584,0.7,Leve,-0.10939813306105395,-54.69906653052698,-0.34066578635212197
BRUNO LIMA,2021-09-21 02:40:00,41300000518,5.46,4.737747359021878,0.15244642363691455,6.3,Moderada,0.7222526409781223,361.12632048906113,2.2490947240058725
BRUNO LIMA,2021-09-21 15:00:00,41300000521,6.54,4.912577617171442,0.3312766758412244,9.1,Severa,1.6274223828285581,813.711191414279,5.0677933001281295
BRUNO LIMA,2021-09-22 17:00:00,41300000564,10.05,6.978997513840868,0.44003490187074396,9.7,Severa,3.0710024861591325,1535.5012430795662,9.563101741899539
BRUNO LIMA,2021-09-27 15:00:00,41300000588,4.0,6.949442955958346,-0.4244142983330108,0.1,Leve,-2.9494429559583457,-1474.721477979173,-9.184565364854288
BRUNO LIMA,2021-10-05 16:15:00,41300000625,10.9,19.139757768806497,-0.43050480932603286,0.0,Leve,-8.239757768806497,-4119.878884403249,-25.65860569206343
BRUNO LIMA,2021-10-09 01:10:00,41300000649,0.51,0.6192092550396839,-0.17636889977150763,0.6,Leve,-0.10920925503968393,-54.60462751984196,-0.34007762019357574
BRUNO LIMA,2021-10-09 03:05:00,41300000653,6.84,4.736596953062032,0.4440747371545295,9.7,Severa,2.1034030469379674,1051.7015234689836,6.54999708816483
BRUNO LIMA,2021-10-09 15:00:00,41300000655,8.162,12.293358191863812,-0.33606424927877665,0.1,Leve,-4.131358191863811,-2065.6790959319055,-12.865049409463905
BRUNO LIMA,2021-10-10 06:00:00,41300000675,1.32,0.7425565949795813,0.7776422819816142,10.0,Severa,0.5774434050204188,288.7217025102094,1.798158763233584
BRUNO LIMA,2021-10-13 03:40:00,41300000683,4.45,3.2349133801065753,0.37561643145245316,9.4,Severa,1.215086619893425,607.5433099467125,3.783779734348125
BRUNO LIMA,2021-10-19 17:30:00,41300000705,10.3,13.099866156066204,-0.21373242464539677,0.4,Leve,-2.7998661560662033,-1399.9330780331015,-8.718783209990157
BRUNO LIMA,2021-10-20 15:00:00,41300000707,11.28,14.870750572399993,-0.24146397687984905,0.3,Leve,-3.590750572399994,-1795.375286199997,-11.18159728245358
BRUNO LIMA,2021-10-21 15:00:00,41300000709,11.52,18.063779365703454,-0.36225970397577545,0.1,Leve,-6.543779365703454,-3271.889682851727,-20.377328944800556
BRUNO LIMA,2021-10-22 15:00:00,41300000711,11.52,15.630426698246298,-0.2629759748470258,0.3,Leve,-4.1104266982462985,-2055.2133491231493,-12.799868738338972
BRUNO LIMA,2021-10-23 15:00:00,41300000713,11.52,21.274862666682186,-0.45851589359300227,0.0,Leve,-9.754862666682186,-4877.431333341093,-30.376642344048324
BRUNO LIMA,2021-10-31 17:50:00,41300000738,0.81,0.503732847551148,0.6079951981248439,9.9,Severa,0.30626715244885205,153.13357622442604,0.9537159127257253
BRUNO LIMA,2021-10-31 19:30:00,41300000742,8.09,11.953784914861803,-0.32322690615405575,0.1,Leve,-3.863784914861803,-1931.8924574309015,-12.031826224879655
BRUNO LIMA,2021-11-01 15:00:00,41300000745,9.96,11.294025410869553,-0.11811779789211954,1.0,Leve,-1.3340254108695522,-667.0127054347761,-4.154155129447785
